id_agree,rta_deep_std1,rta_deep_std2,rta_deep_std3,rta_deep_std4,rta_deep_std5,rta_deep_std6,rta_deep_std7,rta_deep_std8,rta_deep_std9,rta_deep_std10,rta_deep_std11,rta_deep_std12,rta_deep_std13,rta_deep_std14,rta_deep_std15,rta_deep_std16,rta_deep_std17,rta_deep_std18
136,1.3179066,1.6173911,2.1571262,1.3244389,0,0,0,0,0,0,2.4916766,2.2897618,0,0,1.7945067,1.8864627,2.8579495,0
137,1.3562429,2.1020846,2.8615384,1.1552795,2.5372155,3.3172002,0,0,0,0,2.0430255,3.1975319,0,1.953185,1.8895166,1.5716211,1.9255615,0
138,1.3562429,1.73252,1.6942763,1.3244389,0,0,0,0,0,0,2.1786585,1.4740449,0,2.7304425,1.2656895,1.3675501,1.6244541,0
139,1.3562429,2.4740317,1.6942763,3.65201,5.5152569,7.7669988,3.8825386,0,3.1583261,0,2.0448687,1.3637081,2.525979,1.9415178,1.6370151,0,1.9610974,4.6171269
140,5.09589,1.5914712,2.8615384,1.1552795,0,0,0,0,0,0,0,0,0,0,0,0,3.4444444,0
141,2.6151998,1.9926898,2.8615384,3.0086219,0,0,0,0,0,3.1917362,1.9531779,1.9537858,2.0820661,1.7419834,2.2418718,1.2696246,1.5455221,17.766235
142,1.3562429,2.4211924,1.6942763,4.2662616,2.6409762,6.4549623,4.6613173,4.9407859,3.036978,2.4379425,2.0397613,2.1180856,2.224798,2.3128831,3.4310908,0,2.078774,7.299902
143,1.3562429,1.642947,1.6942763,3.2387042,2.5658913,3.7782569,4.0415578,0,3.251272,2.4379425,2.1488533,1.7832354,2.3287008,1.846234,1.7301273,1.5274036,1.9212576,0
144,5.09589,1.5938933,2.8615384,1.1552795,3.5285134,0,0,0,0,0,2.3928137,1.1698112,0,1.5773724,1.4201503,0,2.0322289,0
145,1.3179066,1.9952604,2.8615384,1.1552795,3.5285134,0,0,3.1260505,0,0,2.3928137,1.1698112,0,1.6454017,1.4201503,0,2.0322289,0
146,5.09589,2.0426846,2.8615384,1.1552795,5.5522385,0,0,0,0,0,2.3928137,1.1698112,0,1.6012572,1.4201503,1.2696246,2.3241773,0
147,1.3562429,2.0793579,2.8615384,1.1552795,2.649615,3.663538,0,0,0,3.1610446,1.9531779,3.0309272,0,1.7584347,2.1869411,2.2991166,1.6071204,0
148,1.3562429,1.9979759,1.6942763,1.3244389,2.9446013,0,0,3.7199996,0,3.1978781,2.3928137,2.3791869,0,1.6454017,1.7615049,1.9215801,3.7994308,0
149,5.09589,2.1131046,2.8615384,1.1552795,3.2969913,0,0,0,0,0,2.3928137,1.1698112,0,1.6012572,1.4201503,1.2696246,2.0322289,0
150,5.09589,2.0290458,2.8615384,1.1552795,3.1214628,0,0,0,0,0,2.3928137,1.1698112,0,1.6012572,1.4240214,0,2.0322289,0
151,5.09589,2.0933392,2.8615384,1.1552795,0,0,0,0,0,0,2.3928137,1.1698112,0,1.6012572,1.4201503,0,2.0322289,0
152,16.173912,2.0460758,2.8615384,0,3.1363015,0,0,0,0,0,0,2.8387849,0,1.6406424,1.8588094,1.2696246,4.4193225,9.0389872
153,3.4143424,1.4212135,3.8923461,1.3244389,0,0,0,0,0,3.1518633,3.601872,1.1698112,0,0,1.6959957,1.4470323,2.3109102,0
154,3.4832883,2.3514395,2.7746437,4.1013284,2.6241553,6.9132638,6.2308154,4.9436655,3.1713684,4.7667909,2.5844147,3.4729693,2.5855148,2.4808981,1.7734491,1.7093239,2.8566551,4.1855621
155,3.6436574,1.8690877,3.9469295,1.7826923,2.9840288,3.3172002,0,3.7199996,0,3.1518633,1.8007575,2.2526119,0,2.538986,2.1836016,1.4707589,2.0210295,0
156,5.09589,2.1205873,1.6942763,3.1512585,2.4951847,8.2561913,4.2863288,5.6094122,3.1808286,3.1610446,2.0755289,1.1698112,2.3929181,2.2118192,1.6324117,1.5378501,2.195832,4.281199
157,2.0084174,1.375726,2.5769978,1.4615719,3.4431157,0,0,3.1260505,0,0,1.9689946,3.55794,0,0,1.711561,1.9108983,2.9935675,0
158,1.3562429,1.497582,1.6942763,1.3244389,2.9432044,0,0,0,0,0,1.9095435,5.0203733,0,2.0135984,1.4141971,1.6497107,1.7842753,0
159,1.3562429,1.6623149,1.6942763,4.3272276,4.1157842,8.6173372,3.8713448,4.7497206,3.5232594,4.9021864,3.0077703,2.6232221,2.7662001,1.8757374,1.5438449,2.0573969,2.6078594,0
160,1.3562429,2.2955306,1.6942763,6.54141,3.2591112,8.1362333,3.9143193,4.6902008,3.6389389,5.4994292,2.2668302,4.1634727,2.7543991,3.8076398,1.5295078,2.4285808,2.7290998,0
