id_agree,rta_deep_std1,rta_deep_std2,rta_deep_std3,rta_deep_std4,rta_deep_std5,rta_deep_std6,rta_deep_std7,rta_deep_std8,rta_deep_std9,rta_deep_std10,rta_deep_std11,rta_deep_std12,rta_deep_std13,rta_deep_std14,rta_deep_std15,rta_deep_std16,rta_deep_std17,rta_deep_std18
331,1.8181763,0,1.8017151,0,2.4858861,0,0,0,0,0,0,1.1698112,0,0,0,0,0,0
332,3.1634476,1.9253172,2.8311529,2.7103183,3.8591826,6.5832553,0,4.6405835,3.7200139,4.8244891,0,3.2695124,2.6623545,0,2.4814591,3.2345371,2.8044333,3.9473553
333,4.8956461,0,1.8017151,0,2.1418173,0,0,0,0,0,0,2.0604365,0,0,0,2.8161266,1.912776,0
338,1.8181763,2.505904,1.8017151,5.9382391,3.8221126,7.1851625,0,5.3060651,3.571512,4.3438811,0,2.8866141,2.3338909,4.7291565,2.6022897,3.0579534,2.3622897,6.8115788
340,1.8181763,0,3.567029,2.9500878,2.6775751,6.2000003,0,0,0,0,0,3.3967516,0,0,1.7554916,3.0279379,2.6191463,0
341,2.7113652,2.4674554,5.3579459,4.7022886,0,0,0,5.1954603,3.1415477,4.8568969,0,3.8482604,0,3.0350111,0,2.8146284,3.1196158,4.4791756
342,2.6853173,0,1.4296489,0,2.4733064,0,0,0,0,0,2.5563595,2.7044361,0,0,0,1.6174061,0,0
343,1.8181763,0,1.8017151,0,2.3368974,4.7135482,0,0,0,0,0,1.4740449,0,0,0,1.5345474,2.3694267,0
345,4.8956461,1.8146195,3.9712377,4.202961,2.6782868,6.3904057,0,5.1745872,0,4.8698945,0,3.4841156,2.5158374,2.4704752,2.3209357,3.1838295,4.3618741,4.0042934
346,4.3297548,1.8986304,3.9389277,5.5160313,3.0346456,7.4004912,5.4797988,5.1250372,4.2070251,4.6420145,0,3.506217,2.4826183,2.9597158,2.6659417,1.7064022,3.4903109,3.9970367
347,25.55374,3.4401338,2.5592158,5.5214572,4.632833,0,4.8325133,4.3369389,0,0,1.8903674,6.8599873,1.8305216,1.6677518,2.3478212,5.3654289,2.7432401,7.7245626
348,5.09589,1.7168449,2.8615384,2.018589,0,0,0,0,0,0,1.7811825,0,0,0,2.0423667,3.1589177,3.4444444,0
349,1.8181763,3.0703845,2.8311529,4.7667551,4.5563474,7.7917895,4.7792172,5.012537,3.6940863,4.5705671,0,4.0235357,2.6071641,10.86198,1.8474679,4.045722,2.8912475,4.0518675
350,1.8181763,0,1.8017151,2.1398408,2.8719819,0,0,0,0,0,0,3.5581849,0,0,1.6374973,4.175096,2.4633448,0
351,16.003288,2.4919634,2.2869465,5.2772617,4.3598833,7.9184465,4.4411707,5.3271227,3.3961139,4.9800892,3.2189968,4.744379,2.4875631,8.5684576,3.3322976,3.8918118,3.012295,4.309299
352,2.9918849,0,2.4867759,3.4414074,0,0,0,0,0,0,2.1963894,3.2004216,0,0,0,1.6174061,0,0
353,2.9918849,0,2.4867759,3.4414074,0,0,0,0,0,0,2.1963894,3.2004216,0,0,0,1.6174061,0,0
354,2.7113652,2.4674554,5.3579459,4.7022886,0,0,0,5.1954603,3.1415477,4.8568969,0,3.8482604,0,3.0350111,0,2.8146284,3.1196158,4.4791756
355,3.6380553,2.3507879,2.653753,4.1013284,2.6241553,6.9132638,6.2308154,4.9436655,3.1713684,4.7667909,2.7027669,3.4729693,2.664243,2.4808981,1.7734491,1.7093239,2.8566551,4.1855621
356,5.1880174,2.377393,2.2869465,5.1935301,2.7008018,6.4391575,5.2565312,5.2853427,3.2545781,5.0701432,1.9987108,4.850009,2.3613839,2.3922353,1.8536669,2.3349245,3.2192373,6.208858
357,1.1742319,2.6250091,1.5119114,3.0657837,3.2632883,5.8733873,5.7881632,4.2404351,3.260581,4.7423835,2.0080945,5.1894827,2.2914519,1.8651562,2.2807205,2.6317167,3.2003043,6.6411304
358,2.1159716,1.3736305,2.4867759,1.4615719,3.4431157,0,0,3.1260505,0,0,2.0080945,3.55794,0,0,1.711561,1.9108983,2.9935675,0
359,2.9918849,1.4921459,2.4867759,5.0681763,3.0958705,0,0,3.1260505,0,1.8693466,2.2403104,1.1698112,0,0,1.76235,0,2.251771,0
360,3.1969032,1.9132278,2.8615384,1.1552795,2.4054031,0,0,3.7199996,0,5.4705882,1.9665353,1.1698112,0,1.6798551,1.9289783,0,1.5376627,0
361,2.3101134,2.5194752,2.2869465,5.778152,3.2133043,8.8029671,4.8676085,5.5529046,3.0292075,7.2348447,1.8836421,4.3271146,2.4178674,2.1815677,1.9365987,2.1014555,3.044811,5.8016191
363,3.6480665,2.0179486,5.1587114,3.38907,2.5318224,5.4137802,0,3.6477599,3.3329856,7.6971245,2.2181103,0,0,2.3551807,2.21457,1.4470323,2.0206766,0
364,3.6480665,2.2805541,5.1587114,3.5989101,2.4631839,5.5230737,4.9908772,3.7199996,3.5713661,3.1518633,1.9665353,2.8387849,0,2.2709272,2.2830808,3.8621058,2.149266,3.1156175
366,1.1742319,2.2067671,1.5119114,1.3244389,2.3670325,5.4234891,0,4.2404351,0,0,2.0216053,0,0,2.6648262,1.7615049,0,2.0577657,0
